name,group,nodesize
html,6,9.081666667
css,6,11.37233333
hibernate,8,0.994333333
spring,8,1.761333333
ruby,3,2.338
ruby-on-rails,3,1.843666667
ios,4,2.915333333
swift,4,2.120666667
html5,6,4.672666667
c,1,6.327666667
c++,1,8.937
asp.net,2,4.318333333
c#,2,10.70433333
objective-c,4,1.567
javascript,6,21.63866667
jquery,6,6.943
redux,3,0.284
reactjs,3,1.967666667
php,6,12.04066667
mysql,6,5.514333333
spring-mvc,8,0.6
.net,2,2.502666667
react-native,3,0.453666667
spring-boot,8,0.412333333
less,6,0.324333333
sass,6,1.018333333
hadoop,10,0.598333333
apache-spark,10,0.368
sql-server,2,2.154
express,3,0.475666667
node.js,3,3.912
mongodb,3,1.698333333
iphone,4,0.509666667
github,5,0.423666667
git,5,1.816
excel,14,0.416666667
excel-vba,14,0.379333333
entity-framework,2,0.429333333
linq,2,0.277333333
wcf,2,0.424333333
wpf,2,0.646
android,4,7.662
java,8,20.355
scala,10,0.900666667
ajax,6,1.180333333
django,1,1.363666667
python,1,14.62233333
vba,14,0.562333333
xcode,4,0.379
apache,5,0.439
nginx,5,0.316333333
angularjs,6,4.219666667
asp.net-web-api,2,0.376
laravel,6,1.070666667
plsql,2,0.344
oracle,2,1.006333333
json,6,0.846
xml,6,0.792333333
flask,1,0.313
wordpress,6,1.558
java-ee,8,0.748333333
maven,8,0.343333333
jsp,8,0.459333333
bash,5,0.797
linux,5,3.618
angular2,7,0.626333333
typescript,7,0.584333333
codeigniter,6,0.623666667
tdd,12,0.315
agile,12,0.407333333
twitter-bootstrap,6,1.035
web-services,8,0.631333333
rest,8,0.902666667
testing,11,0.298333333
selenium,11,0.423333333
android-studio,4,0.493
redis,3,0.461666667
jenkins,9,0.334
docker,9,0.761666667
amazon-web-services,9,1.001666667
angular,7,0.969666667
osx,4,0.419333333
machine-learning,1,1.473666667
qt,1,0.351
windows,5,0.657
ubuntu,5,0.399333333
ionic-framework,6,0.281333333
elasticsearch,3,0.360666667
vue.js,6,0.279333333
r,1,1.756666667
embedded,1,0.442333333
go,9,0.828
visual-studio,2,0.604333333
postgresql,3,1.301
sql,2,5.141
unix,5,0.522333333
eclipse,8,0.379666667
vb.net,2,0.785333333
unity3d,2,0.645333333
devops,9,0.327
drupal,6,0.275
shell,5,0.387666667
bootstrap,6,0.442666667
xamarin,2,0.372666667
azure,2,0.456
mvc,2,0.364
haskell,10,0.372666667
api,8,0.287
twitter-bootstrap-3,6,0.337666667
regex,13,0.315333333
perl,13,0.646
cloud,9,0.355333333
photoshop,6,0.420666667
powershell,5,0.328333333
matlab,1,0.907
